,V(m/s),alpha(deg),beta(deg),p(deg/s),q(deg/s),r(deg/s),phi(deg),theta(deg)
4547.0,13.90776964440938,0.7697112116244323,0.0,0.0,-6.424296167444866e-06,0.0,0.0,1.227376481910283
4548.0,13.90770774922176,0.7695822219473109,0.0,0.0,-1.3672044720949348e-05,0.0,0.0,1.227366435352498
4549.0,13.90764636970512,0.7694460886918992,0.0,0.0,-2.0939028036688128e-05,0.0,0.0,1.227349131409238
4550.0,13.907585509658668,0.7693027976644244,0.0,0.0,-2.8225010926823108e-05,0.0,0.0,1.2273245509632176
4551.0,13.90752517287179,0.769152334915723,0.0,0.0,-3.552975679941968e-05,0.0,0.0,1.2272926751330413
4552.0,13.907465363123865,0.7689946867424707,0.0,0.0,-4.2853027664794864e-05,0.0,0.0,1.2272534852746055
4553.0,13.9074060841841,0.7688298396884065,0.0,0.0,-5.019458414194798e-05,0.0,0.0,1.2272069629824924
4554.0,13.907347339811334,0.7686577805455476,0.0,0.0,-5.7554185465072856e-05,0.0,0.0,1.2271530900913576
4555.0,13.90728913375388,0.7684784963553987,0.0,0.0,-6.493158949015056e-05,0.0,0.0,1.227091848677313
4556.0,13.907231469749332,0.7682919744101527,0.0,0.0,-7.232655270162465e-05,0.0,0.0,1.2270232210593002
4557.0,13.907174351524397,0.7680982022538848,0.0,0.0,-7.97388302191562e-05,0.0,0.0,1.2269471898004594
4558.0,13.907117782794712,0.7678971676837383,0.0,0.0,-8.716817580446069e-05,0.0,0.0,1.2268637377094909
4559.0,13.90706176726467,0.7676888587511032,0.0,0.0,-9.461434186822554e-05,0.0,0.0,1.2267728478420092
4560.0,13.90700630862724,0.7674732637627869,0.0,0.0,-0.0001020770794771075,0.0,0.0,1.2266745035018911
4561.0,13.90695141056379,0.7672503712821774,0.0,0.0,-0.00010955613836081154,0.0,0.0,1.2265686882426152
4562.0,13.906897076743908,0.7670201701303981,0.0,0.0,-0.00011705126691924903,0.0,0.0,1.2264553858685965
4563.0,13.906843310825225,0.7667826493874553,0.0,0.0,-0.0001245622122297765,0.0,0.0,1.2263345804365113
4564.0,13.906790116453239,0.7665377983933772,0.0,0.0,-0.00013208872005451407,0.0,0.0,1.2262062562566176
4565.0,13.906737497261133,0.7662856067493451,0.0,0.0,-0.00013963053484774358,0.0,0.0,1.226070397894065
4566.0,13.906685456869601,0.7660260643188161,0.0,0.0,-0.00014718739976338614,0.0,0.0,1.2259269901702001
4567.0,13.906633998886669,0.7657591612286384,0.0,0.0,-0.0001547590566625589,0.0,0.0,1.2257760181638626
4568.0,13.906583126907517,0.7654848878701569,0.0,0.0,-0.00016234524612121078,0.0,0.0,1.2256174672126743
4569.0,13.9065328445143,0.7652032349003118,0.0,0.0,-0.00016994570743783706,0.0,0.0,1.22545132291432
4570.0,13.906483155275975,0.7649141932427281,0.0,0.0,-0.00017756017864127235,0.0,0.0,1.225277571127822
4571.0,13.906434062748113,0.7646177540887965,0.0,0.0,-0.00018518839649856247,0.0,0.0,1.2250961979748054
4572.0,13.906385570472734,0.764313908898746,0.0,0.0,-0.00019283009652291378,0.0,0.0,1.2249071898407553
4573.0,13.906337681978123,0.7640026494027073,0.0,0.0,-0.00020048501298172038,0.0,0.0,1.2247105333762676
4574.0,13.90629040077865,0.7636839676017687,0.0,0.0,-0.0002081528789046693,0.0,0.0,1.2245062154982902
