V,alpha,beta,p,q,r,phi,theta,elevator,aileron,rudder,eta,type
12.407736287999999,2.9103091398000003,0.0,0.0,0.0,0.0,0.0,3.346526073,-7.0209520838,0.0,0.0,0.1836,elevator
12.3977544247,2.9241155629000004,0.0,0.0,0.0,0.0,0.0,3.3563411517,-7.0509978804,0.0,0.0,0.1836,elevator
12.387772517,2.9379189279,0.0,0.0,0.0,0.0,0.0,3.3661106686,-7.0810115683,0.0,0.0,0.1836,elevator
12.3777905657,2.9517194525,0.0,0.0,0.0,0.0,0.0,3.3758349191000003,-7.1109936248,0.0,0.0,0.1836,elevator
12.3678085605,2.9655167681,0.0,0.0,0.0,0.0,0.0,3.3855136283,-7.1409441082,0.0,0.0,0.1836,elevator
12.3578264607,2.9793092447000005,0.0,0.0,0.0,0.0,0.0,3.3951452994999998,-7.170862206,0.0,0.0,0.1836,elevator
12.3478442455,2.9931034051,0.0,0.0,0.0,0.0,0.0,3.4047362783999997,-7.200753098400001,0.0,0.0,0.1836,elevator
12.337859171400002,3.0045883152,0.0,0.0,0.0,0.0,0.0,3.4120716796,-7.228924728200001,0.0,0.0,0.1836,elevator
12.3278714236,3.0137625233999996,0.0,0.0,0.0,0.0,0.0,3.4171617676,-7.2553954233,0.0,0.0,0.1836,elevator
12.3178837078,3.0229373181,0.0,0.0,0.0,0.0,0.0,3.4222256993999998,-7.2818645162,0.0,0.0,0.1836,elevator
12.3078960205,3.0321182647000002,0.0,0.0,0.0,0.0,0.0,3.4272688176,-7.308336217000001,0.0,0.0,0.1836,elevator
12.2979083505,3.0413026369,0.0,0.0,0.0,0.0,0.0,3.4322885358999997,-7.334808682699999,0.0,0.0,0.1836,elevator
12.287920686600001,3.0504862293,0.0,0.0,0.0,0.0,0.0,3.4372808817,-7.361279045800001,0.0,0.0,0.1836,elevator
12.2779330278,3.0596738208,0.0,0.0,0.0,0.0,0.0,3.4422504314999998,-7.3877509027,0.0,0.0,0.1836,elevator
12.2679453684,3.0688643793,0.0,0.0,0.0,0.0,0.0,3.4471962287,-7.4142236578,0.0,0.0,0.1836,elevator
12.257957707000001,3.0780578046,0.0,0.0,0.0,0.0,0.0,3.4521182058999997,-7.4406973810000006,0.0,0.0,0.1836,elevator
12.247970043699999,3.0872541551,0.0,0.0,0.0,0.0,0.0,3.4570164464,-7.4671722526,0.0,0.0,0.1836,elevator
12.237982378900002,3.0964534895,0.0,0.0,0.0,0.0,0.0,3.4618910332,-7.4936484519,0.0,0.0,0.1836,elevator
12.2279947126,3.1056558657999997,0.0,0.0,0.0,0.0,0.0,3.4667420486,-7.5201261577,0.0,0.0,0.1836,elevator
12.2180070451,3.1148613419999998,0.0,0.0,0.0,0.0,0.0,3.4715695741,-7.5466055477,0.0,0.0,0.1836,elevator
12.208019376500001,3.1240699759,0.0,0.0,0.0,0.0,0.0,3.476373691,-7.5730867989999995,0.0,0.0,0.1836,elevator
12.1980317071,3.1332818249,0.0,0.0,0.0,0.0,0.0,3.4811544799000003,-7.599570087999999,0.0,0.0,0.1836,elevator
12.188044037000001,3.1424969463999997,0.0,0.0,0.0,0.0,0.0,3.4859120205000003,-7.62605559,0.0,0.0,0.1836,elevator
12.178056366400002,3.1517153976,0.0,0.0,0.0,0.0,0.0,3.4906463925,-7.6525434799,0.0,0.0,0.1836,elevator
12.168068695499999,3.1609372352999996,0.0,0.0,0.0,0.0,0.0,3.4953576747,-7.679033931699999,0.0,0.0,0.1836,elevator
12.158081024500001,3.1701625162,0.0,0.0,0.0,0.0,0.0,3.5000459454,-7.7055271186,0.0,0.0,0.1836,elevator
12.148093353499998,3.1793912969,0.0,0.0,0.0,0.0,0.0,3.5047112823,-7.732023213300001,0.0,0.0,0.1836,elevator
12.1381056828,3.1886236338,0.0,0.0,0.0,0.0,0.0,3.5093537627,-7.7585223877,0.0,0.0,0.1836,elevator
12.1281180126,3.1978595829,0.0,0.0,0.0,0.0,0.0,3.5139734633999997,-7.7850248128,0.0,0.0,0.1836,elevator
12.118130342899999,3.2070992001999996,0.0,0.0,0.0,0.0,0.0,3.5185704605000003,-7.8115306593,0.0,0.0,0.1836,elevator
12.108142674000002,3.2163425414999995,0.0,0.0,0.0,0.0,0.0,3.5231448295999996,-7.8380400967999995,0.0,0.0,0.1836,elevator
12.098155006099999,3.2255896624,0.0,0.0,0.0,0.0,0.0,3.5276966459,-7.8645532947,0.0,0.0,0.1836,elevator
12.0881673393,3.2348406183,0.0,0.0,0.0,0.0,0.0,3.5322259841,-7.8910704212,0.0,0.0,0.1836,elevator
12.078179673900001,3.2440954645,0.0,0.0,0.0,0.0,0.0,3.5367329183,-7.917591644400001,0.0,0.0,0.1836,elevator
12.0681920099,3.253354256,0.0,0.0,0.0,0.0,0.0,3.5412175220999997,-7.9441171315,0.0,0.0,0.1836,elevator
12.0582043477,3.2626170477999996,0.0,0.0,0.0,0.0,0.0,3.5456798686,-7.970647049,0.0,0.0,0.1836,elevator
12.0482166873,3.2718838944999997,0.0,0.0,0.0,0.0,0.0,3.5501200306,-7.9971815629,0.0,0.0,0.1836,elevator
12.038229028900002,3.2811548508999997,0.0,0.0,0.0,0.0,0.0,3.5545380801,-8.023720838600001,0.0,0.0,0.1836,elevator
12.0282413727,3.2904299712,0.0,0.0,0.0,0.0,0.0,3.5589340889999996,-8.050265040900001,0.0,0.0,0.1836,elevator
12.0182537189,3.2997093098000003,0.0,0.0,0.0,0.0,0.0,3.5633081282,-8.076814334,0.0,0.0,0.1836,elevator
12.0082660677,3.3089929207999997,0.0,0.0,0.0,0.0,0.0,3.5676602688,-8.1033688816,0.0,0.0,0.1836,elevator
11.9982784191,3.3182808581,0.0,0.0,0.0,0.0,0.0,3.5719905807999996,-8.1299288467,0.0,0.0,0.1836,elevator
11.9882907735,3.3275731757,0.0,0.0,0.0,0.0,0.0,3.5762991341,-8.156494391699999,0.0,0.0,0.1836,elevator
11.978303130899999,3.336869927,0.0,0.0,0.0,0.0,0.0,3.5805859981,-8.1830656788,0.0,0.0,0.1836,elevator
11.9683154916,3.3461711658,0.0,0.0,0.0,0.0,0.0,3.5848512417,-8.2096428692,0.0,0.0,0.1836,elevator
11.958327855699999,3.3554769452999995,0.0,0.0,0.0,0.0,0.0,3.5890949332999997,-8.2362261238,0.0,0.0,0.1836,elevator
